Country Code,Country Name
+1,+1 (United States)
+44,+44 (United Kingdom)
+93,+93 (Afghanistan)
+355,+355 (Albania)
+213,+213 (Algeria)
+376,+376 (Andorra)
+244,+244 (Angola)
+1264,+1264 (Anguilla)
+1268,+1268 (Antigua and Barbuda)
+54,+54 (Argentina)
+374,+374 (Armenia)
+297,+297 (Aruba)
+61,+61 (Australia)
+43,+43 (Austria)
+994,+994 (Azerbaijan)
+1242,+1242 (Bahamas)
+973,+973 (Bahrain)
+880,+880 (Bangladesh)
+1246,+1246 (Barbados)
+375,+375 (Belarus)
+32,+32 (Belgium)
+501,+501 (Belize)
+229,+229 (Benin)
+1441,+1441 (Bermuda)
+975,+975 (Bhutan)
+591,+591 (Bolivia)
+387,+387 (Bosnia and Herzegovina)
+267,+267 (Botswana)
+55,+55 (Brazil)
+246,+246 (British Indian Ocean Territory)
+673,+673 (Brunei Darussalam)
+359,+359 (Bulgaria)
+226,+226 (Burkina Faso)
+257,+257 (Burundi)
+855,+855 (Cambodia)
+237,+237 (Cameroon)
+1,+1 (Canada)
+238,+238 (Cape Verde)
+345,+345 (Cayman Islands)
+236,+236 (Central African Republic)
+235,+235 (Chad)
+56,+56 (Chile)
+86,+86 (China)
+61,+61 (Christmas Island)
+61,+61 (Cocos (Keeling) Islands)
+57,+57 (Colombia)
+269,+269 (Comoros)
+242,+242 (Congo)
+243,+243 (Congo | the Democratic Republic of the)
+682,+682 (Cook Islands)
+506,+506 (Costa Rica)
+225,+225 (Côte d'Ivoire)
+385,+385 (Croatia)
+53,+53 (Cuba)
+599,+599 (Curaçao)
+357,+357 (Cyprus)
+420,+420 (Czech Republic)
+45,+45 (Denmark)
+253,+253 (Djibouti)
+1767,+1767 (Dominica)
+1809,+1809 (Dominican Republic)
+593,+593 (Ecuador)
+20,+20 (Egypt)
+503,+503 (El Salvador)
+240,+240 (Equatorial Guinea)
+291,+291 (Eritrea)
+372,+372 (Estonia)
+251,+251 (Ethiopia)
+500,+500 (Falkland Islands (Malvinas))
+298,+298 (Faroe Islands)
+679,+679 (Fiji)
+358,+358 (Finland)
+33,+33 (France)
+594,+594 (French Guiana)
+689,+689 (French Polynesia)
+241,+241 (Gabon)
+220,+220 (Gambia)
+995,+995 (Georgia)
+49,+49 (Germany)
+233,+233 (Ghana)
+350,+350 (Gibraltar)
+30,+30 (Greece)
+299,+299 (Greenland)
+1473,+1473 (Grenada)
+590,+590 (Guadeloupe)
+1671,+1671 (Guam)
+502,+502 (Guatemala)
+44,+44 (Guernsey)
+224,+224 (Guinea)
+245,+245 (Guinea-Bissau)
+592,+592 (Guyana)
+509,+509 (Haiti)
+504,+504 (Honduras)
+852,+852 (Hong Kong)
+36,+36 (Hungary)
+354,+354 (Iceland)
+91,+91 (India)
+62,+62 (Indonesia)
+98,+98 (Iran | Islamic Republic of)
+964,+964 (Iraq)
+353,+353 (Ireland)
+44,+44 (Isle of Man)
+972,+972 (Israel)
+39,+39 (Italy)
+1876,+1876 (Jamaica)
+81,+81 (Japan)
+44,+44 (Jersey)
+962,+962 (Jordan)
+7,+7 (Kazakhstan)
+254,+254 (Kenya)
+686,+686 (Kiribati)
+850,+850 (Korea | Democratic People's Republic of)
+82,+82 (Korea | Republic of)
+383,+383 (Kosovo)
+965,+965 (Kuwait)
+996,+996 (Kyrgyzstan)
+856,+856 (Lao People's Democratic Republic)
+371,+371 (Latvia)
+961,+961 (Lebanon)
+266,+266 (Lesotho)
+231,+231 (Liberia)
+218,+218 (Libya)
+423,+423 (Liechtenstein)
+370,+370 (Lithuania)
+352,+352 (Luxembourg)
+853,+853 (Macao)
+389,+389 (Macedonia | the former Yugoslav Republic of)
+261,+261 (Madagascar)
+265,+265 (Malawi)
+60,+60 (Malaysia)
+960,+960 (Maldives)
+223,+223 (Mali)
+356,+356 (Malta)
+692,+692 (Marshall Islands)
+596,+596 (Martinique)
+222,+222 (Mauritania)
+230,+230 (Mauritius)
+262,+262 (Mayotte)
+52,+52 (Mexico)
+691,+691 (Micronesia | Federated States of)
+373,+373 (Moldova | Republic of)
+377,+377 (Monaco)
+976,+976 (Mongolia)
+382,+382 (Montenegro)
+1664,+1664 (Montserrat)
+212,+212 (Morocco)
+258,+258 (Mozambique)
+95,+95 (Myanmar)
+264,+264 (Namibia)
+674,+674 (Nauru)
+977,+977 (Nepal)
+31,+31 (Netherlands)
+599,+599 (Netherlands Antilles)
+687,+687 (New Caledonia)
+64,+64 (New Zealand)
+505,+505 (Nicaragua)
+227,+227 (Niger)
+234,+234 (Nigeria)
+683,+683 (Niue)
+672,+672 (Norfolk Island)
+1670,+1670 (Northern Mariana Islands)
+47,+47 (Norway)
+968,+968 (Oman)
+92,+92 (Pakistan)
+680,+680 (Palau)
+970,+970 (Palestinian Territory | Occupied)
+507,+507 (Panama)
+675,+675 (Papua New Guinea)
+595,+595 (Paraguay)
+51,+51 (Peru)
+63,+63 (Philippines)
+48,+48 (Poland)
+351,+351 (Portugal)
+1,+1 (Puerto Rico)
+974,+974 (Qatar)
+262,+262 (Réunion)
+40,+40 (Romania)
+7,+7 (Russia)
+250,+250 (Rwanda)
+590,+590 (Saint Barthélemy)
+290,+290 (Saint Helena | Ascension and Tristan da Cunha)
+1869,+1869 (Saint Kitts and Nevis)
+1758,+1758 (Saint Lucia)
+590,+590 (Saint Martin (French part))
+508,+508 (Saint Pierre and Miquelon)
+1784,+1784 (Saint Vincent and the Grenadines)
+685,+685 (Samoa)
+378,+378 (San Marino)
+239,+239 (Sao Tome and Principe)
+966,+966 (Saudi Arabia)
+221,+221 (Senegal)
+381,+381 (Serbia)
+248,+248 (Seychelles)
+232,+232 (Sierra Leone)
+65,+65 (Singapore)
+1721,+1721 (Sint Maarten (Dutch part))
+421,+421 (Slovakia)
+386,+386 (Slovenia)
+677,+677 (Solomon Islands)
+252,+252 (Somalia)
+27,+27 (South Africa)
+211,+211 (South Sudan)
+34,+34 (Spain)
+94,+94 (Sri Lanka)
+249,+249 (Sudan)
+597,+597 (Suriname)
+47,+47 (Svalbard and Jan Mayen)
+268,+268 (Swaziland)
+46,+46 (Sweden)
+41,+41 (Switzerland)
+963,+963 (Syrian Arab Republic)
+886,+886 (Taiwan | Province of China)
+992,+992 (Tajikistan)
+255,+255 (Tanzania | United Republic of)
+66,+66 (Thailand)
+670,+670 (Timor-Leste)
+228,+228 (Togo)
+690,+690 (Tokelau)
+676,+676 (Tonga)
+1868,+1868 (Trinidad and Tobago)
+216,+216 (Tunisia)
+90,+90 (Turkey)
+993,+993 (Turkmenistan)
+1649,+1649 (Turks and Caicos Islands)
+688,+688 (Tuvalu)
+256,+256 (Uganda)
+380,+380 (Ukraine)
+971,+971 (United Arab Emirates)
+598,+598 (Uruguay)
+998,+998 (Uzbekistan)
+678,+678 (Vanuatu)
+379,+379 (Vatican City State)
+58,+58 (Venezuela)
+84,+84 (Viet Nam)
+1284,+1284 (Virgin Islands | British)
+1340,+1340 (Virgin Islands | U.S.)
+681,+681 (Wallis and Futuna)
+212,+212 (Western Sahara)
+967,+967 (Yemen)
+260,+260 (Zambia)
+263,+263 (Zimbabwe)
